Legend	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Time	0	0	0	0	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	0	0	0	0	1	1	1	1	1	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4
Sample	0H	0H	0H	0H	12H	12H	12H	12H	12H	24H	24H	24H	24H	24H	48H	48H	48H	48H	48H	6H	6H	6H	6H	6H	96H	96H	96H	96H	96H	0H+U	0H+U	0H+U	0H+U	12H+U	12H+U	12H+U	12H+U	12H+U	24H+U	24H+U	24H+U	24H+U	48H+U	48H+U	48H+U	48H+U	48H+U	6h+U	6h+U	6h+U	6h+U	6h+U	96H+U	96H+U	96H+U	96H+U	96H+U
Maltose	0	2.463017431	2.767411471	2.675660691	3.167113434	3.357641162	3.334668387	3.107468424	3.167953287	4.402128451	4.23341774	3.910135183	3.895667073	4.311535028	0.609802405	0.407934533	1.669356012	0.8728784	1.294869756	3.354563918	3.354564952	2.473789939	2.948881867	2.883647693	3.174867492	0.367616205	2.455020546	2.862496957	2.642283981		2.463017431	2.767411471	2.675660691	2.886435134	2.687351281	2.632036425	2.558037108	0.224659187	2.199696683	1.974452886	2.003613925	0.668131936	1.725060213	2.08504168	1.507971446	1.629229025	1.601197262	3.004373221	3.2476511	3.016154566	3.197104422	2.972233798	0.239383434	1.87728442	1.76891727	1.713730348	1.772193224
Phosphorylcholine	2.280168051	2.69703471	3.065552368	2.836223174	3.321846708	2.06472888	3.409992677	3.28432799	3.518708069	4.500422546	4.27004082	3.970300532	4.150191659	4.226070418	1.713990484	1.865504751	1.956348322	2.290599833	1.911406477	3.571757445	3.417660832	3.369802732	3.280687285	3.258711346	3.178718153	2.784273948	2.783914181	3.405308528		2.280168051	2.69703471	3.065552368	2.836223174	3.095073534	2.819165318	3.057113723	2.882361673	3.088612828	2.477932974	2.400465831	2.520824782	1.474717509	1.927666308	1.793433291	1.83931997	1.9599514	1.912887169	3.173460279		3.163512557	2.485238526	3.107843038	2.059452465	2.14281431	2.057285229	2.014300003	2.128351469
beta-sitosterol	0.385841065	0.370101941	0.40019122	0.3787901	0.441739084	0.448844888	0.238242875	0.411607001	0.22697812	0.395567861	0.446221686	0.356888536	0.388818247	0.139619638	0.363532498	0.483561659	0.42110281	0.366356436	0.23196184	0.378700486	0.273181526	0.415261367	0.426758465	0.21891589	0.379797112	0.392343421	0.378131476	0.222870472	0.358364811	0.385841065	0.370101941	0.40019122	0.3787901	0.256635198	0.20393367	0.430853162	0.225817278	0.401922876	0.453878032	0.40301819	0.434373251	0.460935719	0.344345694	0.359260277	0.310552082	0.303837932	0.309197678	0.402404098	0.413651577	0.430873426	0.391095096	0.397664664	0.242053767	0.314989558	0.30487476	0.278378731	0.307861063
D-Xylulose	0.700243694	0.691780506	0.703362379	0.725033488	0.811265141	0.899971146	0.872251048	0.802558868	0.772447246	0.786372892	0.804127665	0.734143045	0.695852536	0.763683991	0.429848293	0.200024909	0.717211566	0.375846232	0.75491762	0.853917185	0.818996265	0.795215986	0.738276803	0.695068859	0.858264637	0.777395958	0.722249827	0.748514336	0.756376406	0.700243694	0.691780506	0.703362379	0.725033488	0.721139277	0.678516198	0.632446968	0.655049484	0.625479566	0.699036374	0.635983615	0.633838096	0.320734877	0.889778951	1.034954164	0.781286403	0.825635505	0.819570885	0.835185743	0.852916237	0.822185731	0.833285627	0.785488633	0.669075418	0.766370439	0.738053446	0.682250772	0.699272285
D-Ribose	0.982144298	0.934718391	0.971901157	0.977743102	1.008853209	1.137146974	1.118265701	0.998655953	0.960887778	1.155615012	1.160738445	1.063821839	1	1.119569335	0.371782967	1.47522145	1.081665281	0.505555073	1.163941452	1.073572734	1.02393478	0.987822114	0.897980962	0.849709278	1.134238996	1	0.91268403	1.029883393	1.005870766	0.982144298	0.934718391	0.971901157	0.977743102	1.162338658	1.086225933	1	1.004030907	0.978433532	0.919608435	0.810403745	0.821513863	0.485815402	1.210960568	1.425703309	1.053654373	1.105462552	1.14116863	0.875876077	0.906885647	0.863715963	0.879570024	0.801196451	1.020892749	1.196162982	1.117260659	1.050030608	1.086548312
Pyrocatechol	1.197939271	1.173138291	1.319384046	3.078029855	3.632576567	1.489361421	1.350477313	1.162154886	0.850377475	1.538040548	3.240959547	1.169098861	3.418066786	1.439028146	4.88217804	1.236374345	0.895046949	6.265688036	2.658499087	1.304697096	3.003370736	1.188210026	1.186249193	3.087485015	2.008505796	1.165221598	3.523335654	2.822052629	2.821705	1.197939271	1.173138291	1.319384046	3.078029855	3.887491312	3.214188558	3.76759616	3.53593634	3.49968241	2.681188931	4.110455745	3.485116009	2.553375816	2.525957444	1.58595356	1.183258149	1.594282846	2.893196001	3.175962022	2.886382022	2.989247204	1.47106537	1.192713677	1.236844791	1.716250308	1.134017976	1.251839111	1.245261414
6-deoxyglucose	2.013962725	2.235900186	2.522643744	2.053778707	2.404982701	2.565917376	2.249396901	2.633406391	2.36944229	2.190967459	2.25586246	2.252406218	2.142568108	2.132970681	2.423826818	2.252439603	2.636226758	2.857028272	2.200036515	2.693592641	2.292820288	2.43966434	2.372760731	2.347297138	2.629781629	2.235632732	2.349619498	2.532558152	1.969757719	2.013962725	2.235900186	2.522643744	2.053778707	2.386430752	2.325307959	2.547072079	2.429269823	2.361977634	2.307165606	2.366508428	2.495542601	2.639257775	1.650569578	2.247008688	1.744953379	2.372443966	1.837298287	2.35198011	2.431249898	2.2499762	2.119666472	2.386406104	2.018252315	1.789839577	2.016736986	1.934099421	2.132695055
