Names	Time0-R2	TIME0-R3	TIME0-R4	TIME0-R5	12H-KNO3-R1	12H-KNO3-R2	12H-KNO3-R3	12H-KNO3-R4	12H-KNO3-R5	12H-UKNO3-R1	12H-UKNO3-R2	12H-UKNO3-R3	12H-UKNO3-R4	12H-UKNO3-R5	24H-KNO3-R1	24H-KNO3-R2	24H-KNO3-R3	24H-KNO3-R4	24h-KNO3-R5	24H-UKNO3-R2	24H-UKNO3-R3	24H-UKNO3-R4	24H-UKNO3-R5	48H-KNO3-R1	48H-KNO3-R2	48H-KNO3-R3	48H-KNO3-R4	48H-KNO3-R5	48H-UKNO3-R1	48h-UKNO3-R3	48H-UKNO3-R4	48H-UKNO3-R5	48h-UKNO3-R2	6H-KNO3-R1	6H-KNO3-R2	6H-KNO3-R3	6H-KNO3-R4	6H-KNO3-R5	6H-UKNO3-R1	6h-UKNO3-R2	6H-UKNO3-R3	6h-UKNO3-R4	6H-UKNO3-R5	96h-KNO3-R1	96H-KNO3-R2	96H-KNO3-R3	96H-KNO3-R4	96H-KNO3-R5	96H-U_KNO3-R3	96H-UKNO3-R1	96H-UKNO3-R2	96H-UKNO3-R4	96H-UKNO3-R5
Groups	0H	0H	0H	0H	12H	12H	12H	12H	12H	12H+U	12H+U	12H+U	12H+U	12H+U	24H	24H	24H	24H	24H	24H+U	24H+U	24H+U	24H+U	48H	48H	48H	48H	48H	48H+U	48H+U	48H+U	48H+U	48H+U	6H	6H	6H	6H	6H	6h+U	6h+U	6h+U	6h+U	6h+U	96H	96H	96H	96H	96H	96H+U	96H+U	96H+U	96H+U	96H+U
Maltose	1	2.772243983	3.125049904	2.73656821	3.318451903	3.518903964	3.124068599	3.660117757	3.725349484	3.502411464	2.959630722	3.500001964	3.053403391	0.281100074	5.28084424	4.486782094	4.606425254	4.816787406	5.109239761	2.438270276	2.426312057	2.410248306	0.934528552	1	0.464106544	1.865104409	1.145620629	1.453581499	1.925973745	2.111855143	1.483387237	1.798327278	1.95370198	2.904217213	3.37243629	2.397455062	3.231329322	3.393687429	3.311613642	3.807702278	3.05658404	3.827325269	3.182530577	3.57022307	0.466635976	2.689890985	3.813990508	3.493345326	0.320406432	2.374766057	1.895436062	1.534300215	2.099957754
Phosphorylcholine	2.321622247	3.03564163	3.461720179	2.900785664	3.480579006	2.163894915	3.19463581	3.868431004	4.137818996	3.755574099	3.104800011	4.065256824	3.440533712	3.864561726	5.398758973	4.525597016	4.677304435	5.131493668	5.007962795	2.746683378	2.949819279	3.032427348	2.062714779	2.810730935	2.122382134	2.185749389	3.006327598	2.145686916	2.152176875	1.816496694	1.80933384	2.163375444	2.334010642	3.092252736	3.435868311	3.265819175	3.594915462	3.835089756	3.497992286	1	3.205917263	2.975134671	3.327734683	3.574553241	3.534235906	3.05024969	4.537232562	1	2.756505769	2.710661547	2.204429047	1.803399776	2.521986942
beta-sitosterol	0.392855781	0.416567445	0.451908777	0.387412705	0.4628473	0.470402279	0.223196731	0.484809461	0.266914549	0.311402133	0.224596003	0.572935427	0.269547006	0.502897531	0.474527784	0.472927453	0.4204408	0.480753308	0.165451562	0.503104507	0.495250051	0.522529504	0.644719354	0.596148023	0.55014742	0.470481252	0.480829278	0.260393323	0.384450793	0.363880334	0.305489203	0.335373378	0.377267767	0.327860341	0.274636892	0.402447455	0.467633905	0.257636225	0.443555711	0.484984995	0.436648988	0.468188694	0.425800943	0.427091969	0.498023625	0.414307103	0.296952583	0.473791632	0.323980581	0.398462003	0.326680408	0.249232061	0.364799514
D-Xylulose1	0.712974352	0.778632064	0.794259386	0.74153782	0.850030921	0.943195499	0.817164346	0.945290366	0.908358074	0.875033165	0.747262704	0.841008738	0.781900431	0.782618128	0.943342022	0.852253623	0.864874207	0.860385056	0.904978061	0.774852108	0.781530279	0.762475834	0.448617832	0.704897668	0.227568058	0.80131167	0.493284284	0.847447614	0.993409323	1.048263589	0.76854922	0.911328504	1	0.739279694	0.823359442	0.770677639	0.808989844	0.818007849	0.920595511	1	0.833206564	0.997544877	0.841064923	0.965141448	0.98679252	0.791347063	0.997320387	1	0.895534266	0.969459122	0.790841461	0.610818095	0.828601665
D-Ribose1	1	1.052070279	1.097501998	1	1.057060608	1.19176255	1.047642031	1.176262439	1.12995441	1.410386186	1.196281136	1.329769577	1.198462433	1.224244342	1.386289144	1.230207079	1.25325994	1.236447395	1.326708034	1.019346862	0.995866952	0.988240485	0.679519028	0.609677764	1.67835737	1.208501165	0.663522342	1.306605358	1.351998176	1.444037735	1.03647682	1.220198899	1.392397717	0.929446715	1.02938976	0.957340431	0.98399066	1	0.965447017	1.06327633	0.87529348	1.052952964	0.85788413	1.275481966	1.269356382	1	1.372216475	1.329854764	1.366429573	1.513146978	1.197170823	0.940090831	1.287503824
Pyrocatechol	1.219718196	1.320423285	1.489890834	3.148096723	3.80615689	1.560893364	1.265188401	1.368838924	1	4.717096871	3.539846565	5.010034754	4.220673725	4.378903881	1.845051242	3.434926614	1.377283972	4.226259775	1.705271968	2.971983968	5.05114526	4.192421929	3.571454193	8.006163962	1.406621355	1	8.223483905	2.984350412	2.820149512	1.606348791	1.163967687	1.759754023	3.530135162	1.129542873	3.019371098	1.151544881	1.299869569	3.633578091	3.500749868	3.384133043	3.029316003	1.761045284	1.277102679	2.258618272	1.479081472	3.860411201	3.760102492	3.730556611	1.655473899	2.171057797	1.215126678	1.120769682	1.47557068
6-deoxyglucose	2.050577221	2.516612655	2.848650326	2.100529988	2.519903245	2.689154793	2.107337044	3.101745916	2.786341783	2.895704229	2.560905574	3.387018961	2.8997002	2.95537475	2.628309922	2.390872792	2.653499277	2.649172757	2.527605259	2.557395009	2.908090628	3.002014136	3.691578885	3.974774119	2.562597371	2.945350252	3.749743983	2.46969424	1.842807369	2.275905033	1.716505693	2.618680759	2.241780815	2.331980641	2.305035215	2.364382492	2.60002661	2.762470883	2.592503941	2.850514261	2.280135581	2.537500181	2.555253358	2.957259497	2.837814676	2.574406278	3.374380094	2.60420302	2.701360796	2.264148271	2.16098066	1.731596315	2.527133868
5-Dehydroquinic acid	0.754607846	0.882549509	1	0.788130262	0.877278057	0.926425506	0.813762114	0.957355374	0.943048389	1	0.84930375	0.971646152	0.889099491	0.895883905	1	0.940930192	0.934936044	0.966345885	0.907289566	1	1	1	0.726531812	0.964277306	1	0.973222081	0.599754088	1.043823748	0.775885197	0.605891453	0.609790155	0.698551799	0.592927878	1	1.092585726	1	1.104599586	1.090062239	0.935896177	0.981759375	0.869687369	1.045423993	0.840392546	0.698608426	0.879048717	0.694424062	1	0.858501896	0.974070687	0.960683511	0.83531022	0.653167325	0.90680996
Myricetin	0.446045072	0.613022699	0.592926258	0.475006925	0.607490967	0.518763956	0.434950705	0.611883957	0.596022529	0.579122764	0.491893864	0.665133224	0.586497134	0.60038166	0.635645457	0.510349369	0.56199392	0.598629211	0.57466069	0.583161681	0.766476429	0.745569991	1	1.120506098	0.660723376	0.708950068	0.975907142	0.613942099	0.507218024	0.524692041	0.471254106	0.608727841	0.527063502	0.508119844	0.535385362	0.551466586	0.688906856	0.673790649	0.569272304	0.656063039	0.50256502	0.609510984	0.170202468	0.652440345	0.792630848	0.63503581	0.80201122	0.696883524	0.66186867	0.5771558	0.543978395	0.437973358	0.575719796
