Samples	Label	135765 isomer2	16-Hydroxyhexadecanoic acid	1-monostearin labeled	"2,3-Diaminopropionic acid"	2-Coumaric acid	2'-Deoxyadenosine1	2'-Deoxyadenosine2	2-Methylpropanal	"3-Amino-2,3-dihydrobenzoic acid"	3-Hydroxyphenylacetate	3-Indoleacetonitrile	3-Methyladenine	3-Nitro-L-Tyrosine	4-Coumaric acid	4-Methylumbelliferone	5-Aminolevulinic acid	5-Aminopentanoic acid	5-Dehydroquinic acid	6-deoxyglucose	Acetaminophen glucuronide	Adenosine	adrenaline	alanine-alanine1	alanine-alanine2	Ascorbic acid	Asparagine minor	Azelate	"Benzen-1,3-Dicarboxylic acid"	Benzoate	beta-hydroxymyristic acid	beta-sitosterol	Brucine	Caffeine	cerotinic aci	chenodeoxycholic acid	Chlorogenic acid	cis-Aconitic acid	Cystamine1	Cystamine2	Cysteamine1	Cysteamine2	Cysteinylglycine	cystine minor	Deoxyguanosine	D-Fucose	D-Glutamine	digalacturonic acid1	digalacturonic acid2	DL-Homocystine	D-Maltose	D-Panose	D-Ribose1	D-Ribose2	D-Ribose3	D-Trehalose1	D-Trehalose2	D-Trehalose3	D-Trehalose4	D-Trehalose5	D-Xylulose1	D-Xylulose2	Epinephrine1	Epinephrine2	Galactitol	Galacturnonate	Gallic acid	gamma-Linolenic acid	Gluconolactone	Glutaric acid	Glyceraldehyde-3-phosphate	Glycerol	glycyl tyrosine	Harmaline	Histamine	histidine	Homocystine1	Homocystine2	Homovanillate	Hypotaurine	Indoleacetic acid	isoheptadecanoic acid NIST	isohexonic acid	Isopentenyladenosine	L-Ascorbic acid1	L-Ascorbic acid2	L-Aspartic acid3	L-Aspartic acid4	L-Cysteine1	L-Cysteine2	L-Glutamic acid	L-Glutamine	L-Homocysteine	Linoleic acid	lithocholic acid	L-Leucine	L-Lysine	L-Prolinamide	L-Proline	L-Rhamnose	L-Tyrosine1	L-Tyrosine2	L-Tyrosine3	Malonic acid	Maltose	maltotriose1	Maltotriose2	Maltotriose3	Maltotriose4	Melibiose1	Melibiose2	melibiose minor	Menaquinone	methionine sulfoxide minor	Myricetin	N-Acetylglucosamine	N-Acetylleucine	N-Acetylneuraminic acid	N-acetylornithine	Nonadecanoic acid methyl ester1	Nonadecanoic acid methyl ester2	nonanoic acid	noradrenaline	Octacosanoic acid	octadecylglycerol	O-Phospho-L-serine1	O-Phospho-L-serine2	ornithin	Paeonol	palatinitol	Palmitic acid1	Palmitic acid2	Panose_1_minor	Panose_2	Phosphorylcholine	Phthalic acid	Phytol_mixture of isomers	Pimelic acid	Protocatechuic acid	Psoralen	Purine	Putrescine	Pyridoxamine	Pyrocatechol	Pyrogallol	Quinolinic acid	Rhamnose	"Ribulose 1,5-bisphosphate_1"	serotonin1	Serotonin2	Serotonin3	Shikimic acid	Similar_catechin	Sinapyl aldehyde	sophorose minor	Spermidine1	Spermidine2	Spermidine3	Spermidine4	Spermine	spermine major	Stearic acid1	Stearic acid2	Sucrose	Tartarate	Taurine	tetracosane	tocopherol alpha	tranexamic acid	Trans-Aconitate	Tryptamine1	Tryptamine2	Tryptophan	Tyramine1	Tyramine2	Uridine1	Uridine2	xylose
Time0-R2	0H	0.343857325	4.650249965	0.537329858	0.723437288	2.51742917	0.216490436	1.917303237	1.227556689	2.013962725	1	1.956603131	2.645725114	1.782345585	0.610489077	0.705713253	0.356807858	0.284547488	0.741133793	2.013962725	0.336248483	0.640498674	1.471293864	0.794080305	1.072792843	2.026008243	4.659323647	4.650249965	1.131206598	5.450239915	1.466738745	0.385841065	0.946866933	0.643597166	2.645725114	0.50443954	0.936037259	0.979417866	2.529777273	0.418893568	1.292469411	1.782345585	5.16412959	6.368828298	0.083755593	2.748415515	0.240147862	2.237790216	0.670839191	3.819842355	1.573075192	0.662844232	0.982144298	0.492486764	0.822718645	0	0.602340632	0.109608733	0.318811288	0.89928793	0.700243694	1.030240149	1.656018098	2.751015721	3.694510246	0.451036418	0.750688859	0.69299337	1.131945652	3.336939659	1.342349615	2.10214026	0.736059027	1.336096642	0	0.362494664	0.48159307	0.836673316	2.542005994	0.985334507	2.10214026	1.833469123	2.086452061	0.603597271	5.16412959	1.927940366	2.308182745	0	2.079655752	1.281153392	1.227556689	1.23022909	0.335663559	0.433454403	0.711004245	0.469521174	0.106756347	1.289817105	0.600900737	3.708858002	0.683745459	4.782806473	2.607251919	0.610588232	0	2.85243933	0.211568556	1.17502317	2.447242285	2.853646968	5.858947818	5.765840496	4.557498307	0.532312723	0.438080624	0.476120968	1.083121941	0.343514207	1.151757143	0.10383961	0.54165021	0.690638203	0.538609609	1.409144297	0.962223145	0.339809708	0.753725679	0.662086051	1.424718192	9.818832452	1.074958884	0.720435061	0.984406912	0.612394358	2.280168051	3.336939659	0.274910869	0.225819731	0.826621117	1.663156196	4.296771564	2.006665694	2.752313982	1.197939271	0.616521105	0.754984461	1.148131031	9.818832452	0.3021587	1.663156196	3.414570584	0.684008818	0.349545261	0.589043863	0.360873208	2.388391391	0.926477575	2.607251919	6.368828298	0.151223185	0.383504764	1.090921902	0.815034978	1.315013207	1.090921902	0.91757619	0.091417825	1.053742059	0.677840446	2.040276377	0.406361306	2.18759853	0.921291741	2.255319313	3.414570584	2.542005994	1.287051548	0.772483026
TIME0-R3	0H	0.412715574	7.818349149	0.676439601	0.680829681	0.800794044	0.601893502	1.939859956	3.74365941	2.235900186	0.697904234	1.138739776	2.722919543	0.543335158	0.534628992	0.384636183	0.315291968	0.561323418	0.784106607	2.235900186	1.338908021	0.893124678	1.020519472	0.878604924	0	0	7.818349149	7.818349149	0.529649109	3.464252702	1.029402568	0.370101941	1.250531321	0.815259112	2.722919543	0.588261972	1.429786796	1.173552942	1.640088147	0.573746329	0.934985502	1.496211694	6.105079919	6.7738029	0.516661517	1.109449894	0.287005497	0.75671679	1.337448245	2.596648593	0.578862926	0.70407224	0.934718391	0.59396681	1.261900003	1.371021747	0.693887945	0.336576817	0.434096659	0	0.691780506	0.871713624	1.575246437	1.36721009	3.985425677	0.651655492	0.654938325	0.122621362	1.200747308	2.484760197	1.67739632	2.725481086	0.743347312	0.472806278	1.014602984	0.3243639	0.692181239	0.85834195	1.75928312	0.738382731	0.888456227	1.833052794	2.440883856	0.506661796	5.753726452	3.598385934	2.365173748	2.456734196	1.21388717	0.719080926	1.173138291	1.576617092	0.431048386	0.251867838	0.806792395	0.557336795	0.334436697	2.735679427	0.380465139	2.704852246	0.753339	5.489082028	1.792561974	0.332605115	2.463017431	2.456734196	0.297953546	1.142490312	0	2.463017431	1.389078291	7.846238859	6.524442008	0.53425975	0.544643834	0.599276725	1.253947542	0.41079533	0.364629111	0.183067012	2.017535657	1.331652609	0.614490198	1.752378884	0.955148209	0.282461044	0.858903558	0.489744347	0.691226044	10.97816406	1.544085654	0.716858103	0.84038243	0.787998641	2.69703471	3.376512116	0.534109325	1.041977806	0.974713763	1.222842606	5.724870769	1.17175289	2.850202605	1.173138291	0.580919691	0.629949986	2.763339826	10.97816406	0.37396827	1.294462337	3.811595436	0.868633438	0.761691614	0.929898779	0.582170306	0.731867025	1.903832976	1.792561974	6.7738029	0.162293264	0.462561257	1	1.877239647	1.166404235	1	3.464252702	0.334436697	0.602411076	0.929452508	1.893285209	0.370285945	2.484760197	1.07245547	2.678615362	3.811595436	1.111749087	1.539252847	1.035439957
TIME0-R4	0H	0.150861064	7.699156229	0.671887275	0.640150722	1.278032663	0.569302693	1.607076586	4.000410589	0	1.28745249	1.167071281	2.731050231	1.580700333	0.599189705	0.386460244	0.33929112	0.584611468	0.885557529	2.522643744	0.198353659	0.790204883	1.005218937	0.916991688	2.121950913	1.387582664	7.699156229	7.699156229	0.301444302	3.291109793	1.084417727	0.40019122	0.978673966	0.803690935	2.731050231	0.632427938	0	0	0	0.517054096	1	1.580700333	5.710712973	6.499082773	0.512222512	3.056926683	0.319737152	1.17642342	1.482002727	2.668959274	1.558516101	0.725684111	0.971901157	0.593324034	1.226290292	1.398132863	0.694412289	0.319858871	0.417621825	0.816025097	0.703362379	0.765243369	1.637224996	1.637224996	4.098982265	0.406739281	0.736993831	0.523353218	1.253277992	2.859316764	1.725898347	2.476061174	0.557749719	1.327833198	1.069412223	0.333163478	0.722565283	0.9008045	1.870787735	0.755645001	0.506666844	1.608003283	2.682507522	0.158521149	5.164394039	2.227878694	2.405510314	2.452097789	1.049621914	0.767047729	3.917904264	1.621093926	0.481813513	0.334758176	0.873017944	0.577830355	0.349063965	2.517552623	0.415139958	2.775829505	0	5.323125689	1.842651314	0.29035543	2.767411471	2.452097789	0.388721544	3.303007266	3.46531209	2.452097789	1.495275962	8.66193374	5.429392489	0.587278682	0.525070312	0.680685049	1.57637715	0.430811083	0.806426773	0.837335933	2.136216558	1.325857599	0.433477735	1.823405507	1.026488267	0.262475225	0.869573191	0.49993408	0.726697418	0	1.198898457	0.727121166	0.837277823	0.79118698	3.065552368	2.859316764	0.603885909	1.126953601	1.007942925	1.337492747	0.798274062	0.474676241	2.928800867	1.319384046	1.112500573	0.689225331	2.517552623	10.74797332	0.472278163	1.303243738	3.74157547	0.979219861	0.81861099	0.965962529	0.684369175	0.762372526	0	1.842651314	6.499082773	0.291614849	0.486923443	1.094664935	1.861503276	1.172617854	1.094664935	3.291109793	0.349063965	0.658897435	0.973705992	2.096514119	0.42693612	2.512440827	0.567328562	2.58945042	3.74157547	0.936730793	1.305805734	0.945144322
TIME0-R5	0H	0.343585368	3.613272803	0.547468111	0.540187912	1.828987322	0.159402061	0.119604646	1.053496553	2.053778707	1.034171367	1.900246106	2.675660691	1.736026968	0.667424987	0.310278441	0.259723613	0.335827296	0.770588927	2.053778707	0.346328845	0.567106818	1.144102235	0.633348737	1.610115593	1.185903485	3.613272803	3.69882564	0.757152213	5.092762568	1.495551564	0.3787901	0.571060603	0.684469405	1.145139726	0.785416227	0.826322428	0.978341468	0	0.409917382	0.78595163	1.736026968	5.804410752	6.310576886	0.441514926	2.836223174	0.059339094	1.065990553	1.114470774	3.677809132	0.648447834	0.619505107	0.977743102	0.483777448	0.818447075	1.231250542	0.636098515	0.213019858	0.31434114	0.903421083	0.725033488	0.823321775	1.642542706	1.649577236	3.740156722	0.634524242	0.554921938	0.702660885	1.088289596	3.194290338	1.211189522	2.397480684	0.741350274	1.231969102	0.901735692	0.417564877	0.463582674	0.854546558	2.806290345	0.69754103	2.397480684	1.913351666	2.350127305	0.532620623	5.804410752	1.064573081	2.148733702	2.322188523	1.959106386	1.22745271	3.117750751	1.310977317	0.38572258	0.780580363	0.317123377	0.398611205	0.098449201	1.537000508	0.368239574	2.425341805	0.690149769	4.792473063	2.353573244	0.532188288	2.675660691	2.322188523	0.31834133	3.620557647	3.354265339	2.322188523	2.754515558	6.105348514	4.746388737	0.434925667	0.464434744	0.499466537	1.428694901	0.343539912	1.143791269	0.398782371	0.564838103	0.848720884	0.563143253	1.560833764	0.930415237	0.368192058	0.78942511	0.311169074	1.262392556	9.837562742	0.434747144	0.698097823	0.867005608	0.664463342	2.836223174	3.194290338	0.183963871	0.696024283	0.856663314	1.47831024	4.86199814	1.203959414	2.933546693	3.078029855	0.767802524	0.376966404	1.892295193	9.837562742	0.171054661	1.473936516	3.311367213	0.757238647	0.49227805	0.682436927	0.19583351	0.823052736	1.197181778	2.353573244	6.310576886	0.32153438	0.424394917	1.043926545	0.742767711	1.338837499	1.043926545	5.092762568	0.192138649	1.083786989	0.455566151	2.058287566	0.421342355	2.197172091	1.663469067	1.905509973	3.302653048	2.819539122	1.115041346	1
12H-KNO3-R1	12H	0.411208463	0	0.644260096	0.451498084	1.310471224	0.597156467	1.62576568	3.558256588	2.404982701	0.910474025	1.119053855	3.156667733	1.705984764	0.613516602	0.316057854	0.328519304	0.578239794	0.837269667	2.404982701	0.606224151	0.93398625	0.955591225	0.853733864	2.072162198	0.425840052	8.203256062	8.203256062	0.424168374	2.8591081	1.08006781	0.441739084	1.128017498	0.78877496	3.156667733	0.613632553	1.554950763	1.200604271	1.428611123	0.560713095	1.01353799	1.705984764	5.925254287	6.889977436	0.518754025	3.506364909	0.087220676	1.190970585	0.995728703	2.851422288	0.635362195	0.750879301	1.008853209	0.582832841	1.349328806	1.475533605	0.757482334	0.369368948	0.475171568	0.3926274	0.811265141	0.703447306	1.680462188	1.725833226	3.472053854	0.823182162	0.902475889	0.522245139	1.313489334	2.488700687	1.678704807	2.664791777	0.915425218	1.282518003	1.281265649	0.130081966	0.723080841	0.886322634	1.666774155	0.706272222	0.791562611	1.776836842	2.027425225	0.474147749	6.159761673	2.017211323	2.368315654	2.713883453	0.824242728	0.825892157	3.558256588	1.511601245	0.44309896	0.330554296	0.816688056	0.562110471	0.315500363	2.919159338	0.415830924	2.541527007	0.830759904	5.447545512	0.954394858	0.428292775	3.167113434	2.713883453	0.340615709	1.476552275	3.34440663	2.716716318	1.126723365	8.752300586	6.076058886	0.54871555	0.579786255	0.638962151	1.476348864	0.411208463	0.770318574	0.714884607	2.062387703	1.349765047	0.421186536	1.696856907	1.015382005	0.30085452	0.927548933	0.400358938	0.718423284	12.06091645	1.414440493	0.755834324	0.93547195	0.851421279	3.321846708	1.632248957	0.570754619	1.006594297	1	0.930062754	1.696466267	0.5145269	2.938637207	3.632576567	1.431897689	0.645325065	2.916706261	12.06091645	0.42448436	1.120359101	3.665516234	0.929436721	1.013386697	0.995322388	0.650117203	1.029019244	0	1.381786087	6.903151421	0.343629687	0.472337206	0.894068028	1.925880115	1.17120527	0.894068028	2.50544884	0.394768886	0.657992709	0.841259014	1.468164009	0.541926953	2.705349171	1.017215915	2.632036827	3.665516234	0.995408399	1.548944794	0.989234594
12H-KNO3-R2	12H	0.122103308	0	0.567562698	0.733786771	2.049180632	0.446107338	2.328867271	3.05309159	0	1.012765519	1.936573653	3.282444673	2.023801171	0.823250897	0.368408191	0.32899815	0.382366225	0.88396968	2.565917376	0.900956269	0.728944889	1.053666278	0.273463846	0	1.960826648	0	0	0.778921269	5.418300574	1.646092461	0.448844888	1.072681632	0.757765067	0.423713859	0.819994269	1.255292758	0.556809334	0	0.49204427	0.949993609	2.010869181	6.017384605	6.456882295	0.478562276	3.493300906	0.10024812	1.067146555	0.900956269	3.266492353	0.716404249	0.725317036	1.137146974	0.536326648	0.985927457	0	0.729263923	0.351979411	0.381142833	1.055735434	0.899971146	0.974445589	2.289387317	2.189720194	3.628188714	0.800062977	0.822753034	0.131189947	1.287811793	3.166018349	1.514606782	2.502408733	1.037199826	1.30953621	1	0.494629251	0.651246746	0.848602722	2.99848338	0.954172435	2.319122942	1.889847591	2.107063028	0.198178526	5.67894163	2.219497538	2.461833505	2.937242165	1.505832169	0.910571858	1.490319746	1.313920452	0.494703937	0.840512139	0.756260321	0.543334664	0.285156547	2.571898557	0.731894194	2.417625829	1.859904361	5.303859503	1.897186879	0.499963552	3.357641162	2.937242165	0.310933027	3.251627564	3.126139819	2.937242165	1.702412302	6.890957766	6.341211677	0.494414907	0.494990267	0.498175846	1.893524347	0.343034383	1.271043553	0.244892028	0.688079587	0.923220233	0.47909298	1.674725881	1.004894164	0.388690959	0.941605476	0.589383249	1.400407037	0	1.020506026	0.807931438	1.032475164	0.717560198	2.06472888	3.556829345	0.296943082	0.824328475	0.919491761	1.314759623	4.434985142	1.569880273	2.953922783	1.489361421	0.889508587	0.167809856	1.112677182	11.44693659	0.356858518	1.304390663	1.569985544	0.826972653	0.622687223	0.765601325	0.55080024	0.854586277	1.029395664	1.900835324	6.456882295	0.647695639	0.434947637	1.093514097	0.902429686	1.368308088	1.09857407	5.418300574	0.285156547	1.178921581	0.716128071	1.750952565	0.375802023	2.569907922	1.236396925	2.256276955	2.83456671	2.999946055	1.611375291	0.884403212
12H-KNO3-R3	12H	0.368529887	0	0.629784667	0.539207307	2.815658983	0.164149824	0.135438734	3.196996764	2.249396901	1.262065892	2.326538451	3.210114018	1.463689568	0.758655082	0.784196637	0.292431658	0.278563728	0.868619465	2.249396901	0.84159364	0.70002075	1.332561029	0.639742696	1.587648511	0.97757849	6.015851293	5.964693618	0.854273392	5.625909919	1.634787023	0.238242875	1.031277721	0.469208533	1.514092832	0.23497603	0.972511075	1.058851267	2.578603026	0.448615809	0.881103745	2.182098444	6.351807612	0	0.482057677	3.409992677	0.234515759	2.508620766	0.659840065	4.474475522	0	0.679591425	1.118265701	0.536321056	0.918151494	1.340316646	0.697783099	0.259494215	0.338457714	1.02301511	0.872251048	0.613682726	1.785347503	3.093075648	3.608683975	0.821270194	0.72765191	0.752729028	1.144203147	3.334668387	1.369195626	2.467099302	0.875690524	1.317908983	1.015524977	0.521971498	0.55639043	0.992252252	2.797011687	0.613682726	2.467099302	0.253750211	2.08252663	0.323775674	6.351807612	2.457004675	2.370906366	3.018372257	1.762006951	1.311723173	1.398013471	1.394156336	0.347190152	0.423765845	0.809771873	0.525355431	0.095976205	1.370669773	0.563697486	2.500817852	0.73654665	5.031784343	2.124022096	0.634111531	3.334668387	3.018372257	0.226323799	1.293333963	3.023735879	3.018372257	5.660496299	6.959207004	5.084401873	0.215042324	0.464271613	0.526351576	1.080826331	0.368268745	1.236500532	0.132764155	0.706314904	1.201354479	0.549966252	1.648410876	1.015545269	0.385740377	0.927698498	0.363562732	1.61156247	11.2324535	1.067412024	0.798695907	1	0.718117273	3.409992677	3.334668387	0.266706028	0.761425106	0.918042602	1.265547521	5.026946086	1.208825219	0	1.350477313	0.718923711	0.363388397	1.789178733	0	0.369618165	1.792993624	3.709230264	0.757331912	0.513835076	0.651745333	0.503140826	0.777062455	0.751643831	2.124022096	6.655551417	0.258061226	0.445509337	0	0.852934257	1.328407561	1.002565624	1.081765752	0.121601524	1.162830975	0.671655537	1.789178733	0.419323168	2.545038217	1.657369807	2.823356284	3.709230264	2.797011687	1.284699426	0.793999781
12H-KNO3-R4	12H	0.400533056	7.917070641	0.676314426	0.431512857	1.33088518	0.485545753	2.102373647	3.525431913	2.633406391	0.968601846	1.271176171	3.147058266	1.788719392	0.747835532	0.418909283	0.297483181	0.559869435	0.812802154	2.633406391	0.659635955	0.935518621	1	0.85738167	1.340926706	0	7.917070641	7.917070641	0.619891103	4.007013382	1.034681165	0.411607001	1.244080287	0.804976549	3.147058266	0.776890985	1.413300657	1.165140261	1.483193108	0.534145495	1.041992261	1.788719392	6.209362911	6.845017082	0.505348229	1.144213271	0.113835386	1.164280517	0.662759786	3.114136832	0	0.712577198	0.998655953	0.537698717	1.373030851	1.512285049	0.746709974	0.239799144	0.441201525	1.148452696	0.802558868	0.849007773	1.880188888	1.880188888	3.352689666	0.828350023	0.958360008	0.50941951	1.26083343	2.61466265	1.532859377	2.70877321	0.586198844	1.250107467	1.363591889	0.325440166	0.686567155	0.91467515	1.961783273	0.849007773	0.81379329	1.70197288	2.031905585	0.495652882	5.719899603	1.727906624	2.380333646	2.752051653	0.944493789	0.818478482	1.229537465	1.539982409	0.446701127	0.332384737	0.851499243	0.519053413	0.396566274	2.945466823	0.379572098	2.586032656	0.810690471	5.680176796	1.451910175	0.323909179	3.107468424	2.752051653	0.407991008	3.282332651	3.215077773	2.754888821	1.724945029	9.053608004	6.220500805	0.534320498	0.519494235	0.650258271	1.530589236	0.400533056	0.748902373	0.979067084	2.031905585	1.334977044	0.407688786	1.671118722	0.952198467	0.28611598	0.958846899	0.528230396	0.656307766	12.49083259	1.23494471	0.728316784	0.929292547	0.852739279	3.28432799	1.688041307	0.611206071	0.811142994	0.979976178	1.056299688	5.619529706	1.366206906	3.003808004	1.162154886	1.1794551	0.634983931	2.945466823	12.49083259	0.546079132	1.148242764	0.590641119	0.915789118	0.835348614	1.074680566	0.623277637	1.015405029	1.193878729	0.96099408	6.845017082	0.339111786	0.475372117	0.489048134	1.898268736	1.14217844	0.881575715	0.692010668	0.390649585	0.783675784	0.862461692	1.541965491	0.4316908	2.743504853	1.234751733	3.206732304	3.706364047	0.929227034	1.4104041	0.917141595
12H-KNO3-R5	12H	0.384775023	6.733492263	0.713364752	0.721825695	1.222800848	0.506897551	1.799600703	2.985310218	2.36944229	0.265711547	1.192645617	3.143463562	1.785015017	0.33996405	0.420574017	0.329729213	0.3236618	0.801947108	2.36944229	1	0.85243431	0.9941654	0.797741668	1.947199562	1.216128638	6.728598735	6.733492263	0.843102609	4.863902246	1.605898597	0.22697812	1.047253111	0.75690131	3.143463562	0.731051203	1.399987161	0.671840814	1.923523056	0.332582538	1.009587465	1.785015017	6.946717679	6.978730655	0.568802826	1.055122738	0.135212678	1.06392151	0.616314263	3.017306911	1.59161232	0.693978472	0.960887778	0.527973368	1.375375613	1.461564022	0.827403797	0.342902498	0.423043176	1.108211856	0.772447246	0.682274834	1.700594034	2.068172142	3.585479264	0.668121262	1.081900444	0.70498337	1.243720822	2.190391939	1.309498708	0	0.981927386	1.181618694	1.31901559	0.341898885	0.775226776	0.855716545	2.103837291	0.676563393	2.45699586	1.53633532	1.810046933	0.583945384	5.221244868	2.226753616	2.373384797	2.90347936	0	0.887616693	1.320041024	1.425343077	0.428712751	0.73901696	0.322090971	0.530941631	0.38043823	2.90347936	0.411115412	2.412109146	0.802512329	5.817459573	1.540721449	0.323517395	3.167953287	2.90347936	0.350212271	4.433294365	3.588925185	2.90347936	1.732589905	8.682294305	6.853586906	0.515255268	0.506844133	0.52678026	1.364066042	0.121479238	1.100000013	0.693096596	0.548427487	0.882877003	0.423412155	1.572639966	0.88685624	0.314602404	0.907995046	0.393797991	0.757607773	12.43374867	0.952461753	0.720701117	0.870374933	0.781551521	3.518708069	3.382806308	0.176782058	0.392950453	0.974297933	1.121791527	5.386732685	1.216128638	2.944963242	0.850377475	1.17425185	0.327239678	2.900847011	12.43374867	0.414772675	1.206279356	2.656965038	0.883251732	0.833718446	0.950749379	0.560137718	0.907335718	1.05224534	1.551713987	6.978730655	0.735042182	0.379244509	0.919473585	0.84166407	1.152601631	0.919473585	4.863902246	0.381102662	1.053775159	0.7574353	1.497007922	0.429039409	2.700225539	0.469761182	3.065246715	2.656965038	2.14798656	1.676309497	0.96400579
12H-UKNO3-R1	12H+U	0.327860823	6.379845887	0.733405164	0.433883124	1.474763398	0.485645393	0.136924179	3.887491312	2.386430752	0.88142248	1.95576559	3.092345394	1.410673633	0.626505666	0.285911061	0.309702529	0.368325745	0.824127937	2.386430752	1.431690064	0.699379997	0.91851286	0.787967564	1.750703235	0.862013778	0	6.363767578	0.76201454	4.146319916	1.688913403	0.256635198	1.089431175	0	3.092345394	0.828274445	1.409262615	0.537689034	1.447967761	0.210504481	0.919321635	1.028346658	5.156183442	6.292038678	0.466703921	0	0.234659702	1.181696899	1.431690064	3.195366508	1.612254524	0.760679138	1.162338658	0.495574098	0.924129535	1.349657324	0.637513145	0.164016048	0.346601023	1	0.721139277	0.76890493	2.273418711	1.665711104	4.740549071	0.709436921	1.326677374	0.784198331	1.213284169	3.526779865	1.432607178	2.5063845	0.783957087	1.309966966	1.088910181	0.409234624	0.573673293	0.840470386	2.194961632	0.788875519	0.503715291	1.126766818	2.02177659	0.586365528	5.156183442	2.164739291	2.649741748	3.186390713	1.010019302	1.511325086	1.305066705	1.269696794	0.140587393	0.843460854	1.08675002	0.570096371	0.109336936	2.612017871	0.509903471	2.996571128	0	5.175751688	1.144751255	0.387650708	2.886435134	3.186390713	0.115268497	1.563216346	3.980286227	3.186390713	1.832056639	7.05355973	5.556445368	0.50094192	0.477271249	0.581986332	1.917475603	0.323036318	1.288372789	0.657665721	0.664613987	0.944946896	0.413170853	1.581537412	0.866013062	0.318919427	0.768171751	0.455095553	0.899159019	10.56398665	0.809240685	0.723622572	1.049249474	0.73793351	3.095073534	3.066184495	0.326331831	0.647632445	0.94973094	1.164757975	4.983502793	1.384030853	0.711131002	3.887491312	0.931685692	0.284119273	0.998765901	10.56398665	0.367510084	1.220270618	3.429662777	0.662240418	0.66408293	0.733876953	0.551636923	2.349173049	1.088310984	1.679709333	6.292038678	0.816259738	0.438986094	1.193564092	0.946763877	1.403261443	1.150230529	2.522901514	0.23526663	1.184831842	0.710288181	1.646672738	0.47103287	2.089733888	0.518262261	2.175826497	3.429662777	0.29015268	1.53976307	0.852792891
