	Label	135765 isomer2	16-Hydroxyhexadecanoic acid	1-monostearin labeled	"2,3-Diaminopropionic acid"	2-Coumaric acid	2'-Deoxyadenosine1	2'-Deoxyadenosine2	2-Methylpropanal	"3-Amino-2,3-dihydrobenzoic acid"	3-Hydroxyphenylacetate	3-Indoleacetonitrile	3-Methyladenine	3-Nitro-L-Tyrosine	4-Coumaric acid	4-Methylumbelliferone	5-Aminolevulinic acid	5-Aminopentanoic acid	5-Dehydroquinic acid	6-deoxyglucose	Acetaminophen glucuronide	Adenosine	adrenaline	alanine-alanine1	alanine-alanine2	Ascorbic acid	Asparagine minor	Azelate	"Benzen-1,3-Dicarboxylic acid"	Benzoate	beta-hydroxymyristic acid	beta-sitosterol	Brucine	Caffeine	cerotinic aci	chenodeoxycholic acid	Chlorogenic acid	cis-Aconitic acid	Cystamine1	Cystamine2	Cysteamine1	Cysteamine2	Cysteinylglycine	cystine minor	Deoxyguanosine	D-Fucose	D-Glutamine	digalacturonic acid1	digalacturonic acid2	DL-Homocystine	D-Maltose	D-Panose	D-Ribose1	D-Ribose2	D-Ribose3	D-Trehalose1	D-Trehalose2	D-Trehalose3	D-Trehalose4	D-Trehalose5	D-Xylulose1	D-Xylulose2	Epinephrine1	Epinephrine2	Galactitol	Galacturnonate	Gallic acid	gamma-Linolenic acid	Gluconolactone	Glutaric acid	Glyceraldehyde-3-phosphate	Glycerol	glycyl tyrosine	Harmaline	Histamine	histidine	Homocystine1	Homocystine2	Homovanillate	Hypotaurine	Indoleacetic acid	isoheptadecanoic acid NIST	isohexonic acid	Isopentenyladenosine	L-Ascorbic acid1	L-Ascorbic acid2	L-Aspartic acid3	L-Aspartic acid4	L-Cysteine1	L-Cysteine2	L-Glutamic acid	L-Glutamine	L-Homocysteine	Linoleic acid	lithocholic acid	L-Leucine	L-Lysine	L-Prolinamide	L-Proline	L-Rhamnose	L-Tyrosine1	L-Tyrosine2	L-Tyrosine3	Malonic acid	Maltose	maltotriose1	Maltotriose2	Maltotriose3	Maltotriose4	Melibiose1	Melibiose2	melibiose minor	Menaquinone	methionine sulfoxide minor	Myricetin	N-Acetylglucosamine	N-Acetylleucine	N-Acetylneuraminic acid	N-acetylornithine	Nonadecanoic acid methyl ester1	Nonadecanoic acid methyl ester2	nonanoic acid	noradrenaline	Octacosanoic acid	octadecylglycerol	O-Phospho-L-serine1	O-Phospho-L-serine2	ornithin	Paeonol	palatinitol	Palmitic acid1	Palmitic acid2	Panose_1_minor	Panose_2	Phosphorylcholine	Phthalic acid	Phytol_mixture of isomers	Pimelic acid	Protocatechuic acid	Psoralen	Purine	Putrescine	Pyridoxamine	Pyrocatechol	Pyrogallol	Quinolinic acid	Rhamnose	"Ribulose 1,5-bisphosphate_1"	serotonin1	Serotonin2	Serotonin3	Shikimic acid	Similar_catechin	Sinapyl aldehyde	sophorose minor	Spermidine1	Spermidine2	Spermidine3	Spermidine4	Spermine	spermine major	Stearic acid1	Stearic acid2	Sucrose	Tartarate	Taurine	tetracosane	tocopherol alpha	tranexamic acid	Trans-Aconitate	Tryptamine1	Tryptamine2	Tryptophan	Tyramine1	Tyramine2	Uridine1	Uridine2	xylose
Time0-R2	0H	137867	3.41E+08	526075.9	1283891	5.41E+07	34406.59	2.39E+07	6272637	2.77E+07	3390982	2.54E+07	6.28E+07	1.92E+07	771541.3	1191819	154038.3	78124.95	1380433	2.77E+07	128915.9	891005.1	1.08E+07	1697926	4186712	2.82E+07	3.43E+08	3.41E+08	4908528	5.49E+08	1.07E+07	194782.9	2878673	903998.8	6.28E+07	435264.1	2781025	3185881	5.49E+07	249250.8	7321268	1.92E+07	4.67E+08	8.76E+08	1992.356	7.04E+07	46963.63	3.80E+07	1023719	1.89E+08	1.32E+07	987551.9	3212561	405050.5	1888337	0	741057.6	4465.406	109882	2466163	1164322	3708010	1.54E+07	7.06E+07	1.71E+08	311143.2	1434516	1128529	4918155	1.26E+08	8202050	3.15E+07	1352270	8087962	0	161521.5	378761.8	1986064	5.57E+07	3243968	3.15E+07	2.09E+07	3.08E+07	745705.4	4.67E+08	2.43E+07	4.17E+07	0	3.05E+07	7130646	6272637	6313693	128244.3	276156.8	1218827	350987	4125.785	7276288	735755.8	1.73E+08	1083949	3.71E+08	6.01E+07	771917.3	0	7.87E+07	32112.85	5501293	4.97E+07	7.88E+07	6.82E+08	6.50E+08	3.21E+08	511476.9	285093.7	365996.9	4308812	137454.7	5180936	3796.773	538867.8	1117062	529843.7	9488376	3021015	133055.5	1451996	984167	9806463	3.21E+09	4212123	1267973	3234815	778787.6	4.02E+07	1.26E+08	70453.28	39049.11	1915336	1.56E+07	2.69E+08	2.74E+07	7.07E+07	5829481	794638	1459283	5132156	3.21E+09	93547.2	1.56E+07	1.35E+08	1085202	144822.4	693056.1	159363.7	4.62E+07	2696685	6.01E+07	8.76E+08	11726.83	191266	4402572	1835922	7711091	4402572	2619702	2590.706	3967605	1056107	2.88E+07	227542.5	3.55E+07	2651655	3.89E+07	1.35E+08	5.57E+07	7229584	1563120
TIME0-R3	0H	123268.3	8.38E+08	542732.6	553368.3	900453.6	382347.1	1.28E+07	9.20E+07	1.96E+07	596055	2589240	3.54E+07	281256.3	267951.6	99781.32	54958.84	310126.1	845325.9	1.96E+07	4208730	1249209	1863643	1189268	0	0	8.38E+08	8.38E+08	260533.5	7.29E+07	1912734	88892.05	3429119	950136.1	3.54E+07	356953.1	5125222	2834046	7735714	331175.8	1433222	5873243	3.99E+08	5.45E+08	241833.9	2394539	41454.29	759799.4	4194979	3.07E+07	340115.2	611998.7	1431994	367439.1	3523495	4518891	585823.6	66857.7	143436	0	580502.1	1161503	6854004	4481306	1.11E+08	485236	492606.4	3232.937	3035664	2.69E+07	8275722	3.55E+07	720234.9	185331.2	1831417	59840.66	581511.5	1108868	9547860	705900.4	1229722	1.08E+07	2.55E+07	228062.2	3.34E+08	8.17E+07	2.32E+07	2.60E+07	3136417	651976.8	2831043	6871911	140435.5	28016.7	920840.1	303565.2	65590.45	3.59E+07	96570.27	3.47E+07	749670.1	2.90E+08	1.01E+07	64518.7	2.62E+07	2.60E+07	46381.47	2614908	0	2.62E+07	4699796	8.47E+08	4.87E+08	267396.8	283293.5	377381.9	3457299	121555.7	85006.64	10757.94	1.44E+07	4140680	406858.8	9435890	1527957	39516.14	1111046	205971.5	579107.4	2.32E+09	6455249	645949.3	1040710	857976.2	3.44E+07	6.75E+07	267171	1983692	1623791	3206347	3.29E+08	2821025	4.06E+07	2831043	343753.5	438346	3.70E+07	2.32E+09	91707.13	3803357	9.71E+07	1149234	774883.4	1409957	345978.4	687377.6	1.21E+07	1.01E+07	5.45E+08	7495.495	173542.8	1753472	1.16E+07	2782570	1753472	7.29E+07	65590.45	383334.3	1407928	1.19E+07	89024.7	2.69E+07	2162901	3.37E+07	9.71E+07	2409457	6394826	1946586
TIME0-R4	0H	7079.323	9.41E+08	625387.9	540887.5	4304137	380443.3	8557954	1.32E+08	0	4400012	3277573	4.20E+07	8143458	443560.9	119007.6	80533.71	411966.8	1431893	3.31E+07	16090.92	1017371	2094316	1589851	1.97E+07	5508544	9.41E+08	9.41E+08	56478.28	7.35E+07	2629360	132148.7	1932744	1070354	4.20E+07	521546.9	0	0	0	285015.3	2061865	8143458	3.84E+08	5.66E+08	277099.8	5.89E+07	67396.84	3356999	6711309	3.92E+07	7805381	787958	1892895	430661.5	3802245	5635151	690418.5	67473.84	150179.2	1120394	717459.9	923972.3	9048682	9048682	1.42E+08	138742.2	825375.9	295559.5	4058845	4.82E+07	1.06E+07	3.13E+07	357748.9	4827150	2521713	76248.69	777842.2	1507134	1.35E+07	889638.7	268180.8	8572767	3.98E+07	8213.379	2.84E+08	2.28E+07	2.87E+07	3.04E+07	2384289	930523.6	1.24E+08	8783847	230620.1	77348.84	1371923	397796.8	87695.09	3.29E+07	147517.6	4.41E+07	0	3.11E+08	1.29E+07	50471.95	4.37E+07	3.04E+07	121108.9	7.43E+07	8.58E+07	3.04E+07	6893254	1.34E+09	3.30E+08	417631.2	298478.2	650277.7	8076824	164862.1	1081322	1210485	2.01E+07	4805636	167942.5	1.25E+07	2230089	37284.23	1355747	257631.2	791263.4	0	3553100	792648.4	1210233	1021169	5.94E+07	4.82E+07	454072.2	2951062	2111388	4933266	1048857	220522.4	5.18E+07	4735588	2838971	675062.4	3.29E+07	2.56E+09	217197	4563911	1.08E+08	1935980	1131079	1858408	660893.6	913612.3	0	1.29E+07	5.66E+08	51131.57	238035.8	2704605	1.33E+07	3324526	2704605	7.35E+07	87695.09	589812.1	1903460	1.90E+07	160453.4	3.27E+07	376499.3	3.58E+07	1.08E+08	1694746	4590880	1740823
TIME0-R5	0H	141868.4	1.65E+08	573929	551335.9	2.14E+07	14166.53	5984.472	4089602	3.03E+07	3868648	2.40E+07	6.70E+07	1.83E+07	1039894	104480.8	61279.61	132473.7	1600479	3.03E+07	145294	637934.8	5238129	888608.4	1.46E+07	5833507	1.65E+08	1.77E+08	1518208	4.62E+08	1.17E+07	190098	651370.8	1121615	5252392	1694655	1973469	3275315	0	240918.8	1698123	1.83E+07	6.84E+08	8.79E+08	301035.6	7.98E+07	730.8099	4236837	4841587	1.74E+08	953689.1	831603.6	3269309	396021.3	1917580	6528614	900232.8	33809.75	108638.9	2579006	1333079	1952048	1.55E+07	1.57E+07	1.83E+08	893565.4	597691.9	1213442	4508324	1.14E+08	6214669	4.82E+07	1425122	6540051	2564599	254655.8	348468.3	2182674	7.73E+07	1187110	4.82E+07	2.45E+07	4.54E+07	528488.6	6.84E+08	4219958	3.47E+07	4.38E+07	2.63E+07	6468387	1.06E+08	7880744	200727.5	1663545	111549.2	221528.8	3337.477	1.27E+07	174651.8	4.99E+07	1149772	3.85E+08	4.56E+07	527202.7	6.70E+07	4.38E+07	112839.4	1.66E+08	1.32E+08	4.38E+07	7.31E+07	7.96E+08	3.74E+08	287757.6	350393.3	435813.7	1.02E+07	141812.1	5233859	221814.3	630309.2	2138338	624652.3	1.33E+07	2817164	174584.2	1720737	105383.1	7036634	3.33E+09	287403.4	1189955	2279541	1026112	7.98E+07	1.14E+08	21776.06	1179383	2198934	1.13E+07	4.02E+08	6104038	8.83E+07	1.02E+08	1583180	187365.5	2.37E+07	3.33E+09	17505.98	1.12E+07	1.27E+08	1518728	417266.1	1111653	26268.95	1950135	6001530	4.56E+07	8.79E+08	116269	267357.4	3979161	1433312	8393929	3979161	4.62E+08	24809.95	4452598	330701.4	3.05E+07	261629.7	3.71E+07	1.61E+07	2.42E+07	1.26E+08	7.84E+07	4849027	3497693
12H-KNO3-R1	12H	110969.4	0	426776.8	146887.5	3591696	339845.5	6857897	7.19E+07	2.22E+07	1204536	2236506	5.02E+07	7923965	368549.7	50386.81	56584.8	308561	936727.3	2.22E+07	355563.2	1300285	1392623	993080.9	1.42E+07	123241.4	8.81E+08	8.81E+08	121795.7	3.73E+07	2010806	137567.1	2290681	783206.8	5.02E+07	368758.7	6000218	2761956	4653280	281345	1661641	7923965	3.32E+08	5.22E+08	222793	6.88E+07	1058.95	2696002	1575579	3.70E+07	409337.2	675658.9	1638706	315972.4	3920762	5127013	693640.8	80426.33	171225.5	96595.95	852129.4	555535.5	7573617	8203772	6.68E+07	890235.6	1173070	227321.4	3616569	2.46E+07	7549881	3.02E+07	1224294	3366724	3356871	3512.921	603361.6	1111201	7390050	562255.2	791540.1	8952818	1.33E+07	170121.1	3.73E+08	1.31E+07	2.12E+07	3.19E+07	893680.9	899056.8	7.19E+07	5512249	138841.5	57642.86	869332.1	283453.7	50120.65	3.97E+07	114753.9	2.62E+07	915047.6	2.58E+08	1387399	125383.2	5.07E+07	3.19E+07	63068.3	5137639	5.97E+07	3.20E+07	2282806	1.07E+09	3.58E+08	263668.9	311043.3	416334.6	5135516	110969.4	729504.9	583075.7	1.40E+07	3924566	119245.1	7797453	1670727	43459.7	1273584	102415.5	591777.3	2.80E+09	4516179	689123.3	1306500	985032.6	5.85E+07	6940269	296732.7	1627723	1595942	1283967	7792069	217390.9	4.05E+07	7.65E+07	4685469	428896.7	3.96E+07	2.80E+09	122068.1	2244341	7.86E+07	1281376	1660897	1573651	438522.7	1738952	0	4210557	5.25E+08	64757.36	168179.7	1140588	1.14E+07	2563989	1140588	2.51E+07	98185.16	454653.3	950180.9	5050575	254003.3	3.16E+07	1679796	2.91E+07	7.86E+07	1574059	5930959	1544952
12H-KNO3-R2	12H	4612.093	0	463188	1000980	2.18E+07	224923	3.20E+07	7.21E+07	0	2631737	1.84E+07	8.96E+07	2.10E+07	1413554	126678.7	90218.61	141629.7	1749959	4.28E+07	1852793	981295.6	2963637	51810.23	0	1.91E+07	0	0	1197282	4.03E+08	1.13E+07	229089.2	3127003	1102350	192723.1	1396845	5011305	437356.2	0	301806.3	2172090	2.06E+07	5.52E+08	6.82E+08	277671.4	1.08E+08	2552.375	3078846	1852793	8.83E+07	931515.8	966717.1	3725337	390844.4	2428011	0	982584.6	110475.9	140274.6	2981131	1846722	2344167	3.04E+07	2.66E+07	1.21E+08	1297443	1410991	5720.282	5410943	8.04E+07	8802691	3.97E+07	2826852	5689424	2533470	306588	699765.4	1548207	6.83E+07	2200880	3.16E+07	1.71E+07	2.37E+07	19719.03	4.64E+08	2.77E+07	3.78E+07	6.42E+07	8650585	1912751	8385986	5746759	306726.9	1504346	1095796	406366.6	58744.31	4.31E+07	993254.8	3.58E+07	1.63E+07	3.78E+08	1.73E+07	316614.5	9.59E+07	6.42E+07	76158.14	8.71E+07	7.74E+07	6.42E+07	1.25E+07	8.29E+08	6.46E+08	306189.6	307259.8	313230.3	1.72E+07	102265.4	5202320	37208.29	825337.9	1993571	278596.2	1.19E+07	2570850	148774.7	2115060	518691.5	6957907	0	2692542	1336101	2788397	936032.2	2.23E+07	1.14E+08	66333.88	1419112	1969515	5757777	2.21E+08	9802015	6.53E+07	8369819	1783061	11972.04	3489983	3.80E+09	115134.1	5622621	9803987	1432812	611681.9	1136904	423348.6	1581188	2763521	1.74E+07	6.82E+08	688380.7	208461.9	3312752	1861898	6490340	3358952	4.03E+08	58744.31	4151170	930438.9	1.36E+07	134460	4.30E+07	4788390	2.91E+07	5.77E+07	6.84E+07	1.06E+07	1752535
12H-KNO3-R3	12H	136326.9	0	680361.4	427002.8	6.08E+07	12047.16	6766.936	8.90E+07	3.10E+07	5475320	3.43E+07	9.01E+07	8541032	1189314	1313525	68114.03	58875.84	1785057	3.10E+07	1623569	934321.1	6445027	713147.6	1.09E+07	2544593	5.93E+08	5.78E+08	1698064	4.85E+08	1.19E+07	36831.82	2987379	281359.2	9454116	35337.36	2505227	3233466	4.67E+07	245916.2	1863136	2.83E+07	6.98E+08	0	305112.8	1.08E+08	35130.11	4.30E+07	782491.2	2.44E+08	0	854883.8	3808890	420182.5	2108174	6558215	925389.9	47593.37	105603.1	2916148	1807540	629499.1	1.55E+07	8.06E+07	1.28E+08	1508765	1049384	1161661	4080119	1.01E+08	6991332	4.09E+07	1829007	6234759	2852563	387350.2	469139.9	2660907	5.96E+07	629499.1	4.09E+07	44502.32	2.46E+07	92447.69	6.98E+08	4.04E+07	3.63E+07	7.49E+07	1.49E+07	6147379	7442134	7380705	113989.7	207272.3	1446277	394932.7	2407.987	7013938	487867.3	4.26E+07	1088339	3.47E+08	2.61E+07	694481	1.01E+08	7.49E+07	31575.78	5892444	7.53E+07	7.49E+07	4.94E+08	9.18E+08	3.58E+08	27085.4	272571.1	397183.5	3438992	136037.3	5149278	6373.91	959750.9	4722554	453076.5	1.22E+07	2852734	156332.3	2174623	130888.5	1.14E+07	3.86E+09	3312529	1387739	2723726	1008671	1.08E+08	1.01E+08	51672.79	1202389	2107424	5520759	3.46E+08	4811206	0	6708498	1012073	130700.3	1.56E+07	0	137538.2	1.57E+07	1.39E+08	1183102	369517.2	754044.9	346922.2	1278001	1156644	2.61E+07	8.03E+08	46809.25	240842.9	0	1690091	6384949	2744744	3447967	4897.568	4282656	825283.6	1.56E+07	200821.4	4.49E+07	1.24E+07	6.13E+07	1.39E+08	5.96E+07	5775213	1363404
12H-KNO3-R4	12H	99574.44	7.69E+08	479378.7	124512.8	3653041	177387.6	1.44E+07	6.79E+07	2.83E+07	1408214	3183098	4.83E+07	8868689	648113.5	113918.1	40796.23	271952.5	832122.6	2.83E+07	444780.5	1268791	1549647	976686.9	3736353	0	7.69E+08	7.69E+08	369129.7	9.97E+07	1716534	108064	2983857	808318.4	4.83E+07	726629.5	4374581	2451136	5056219	236162.8	1753179	8868689	3.71E+08	4.97E+08	199988.5	2321420	2285.939	2445714	451129.5	4.68E+07	0	560697.4	1543407	240907.2	4011194	5359617	645191.5	21368.58	133089.5	2347319	801057.1	948348.1	1.03E+07	1.03E+07	5.84E+07	880794.2	1364014	204861.1	3106032	2.77E+07	5581356	3.08E+07	312153.1	3027435	3929036	53412.91	501512.6	1185860	1.17E+07	948348.1	835170.4	7639953	1.30E+07	188697.3	2.90E+08	7994542	2.09E+07	3.23E+07	1305660	849678.4	2880435	5659526	138128.7	56905.73	956721.6	216705	96645.16	3.96E+07	84745.3	2.68E+07	825653.8	2.84E+08	4742988	52662.63	4.65E+07	3.23E+07	105240.9	5.48E+07	5.15E+07	3.24E+07	7953505	1.15E+09	3.73E+08	236395	217257.6	426079.3	5556595	99574.44	650891.2	1454354	1.30E+07	3686839	105007.2	7231938	1337874	36296.03	1366094	228403.6	438082	3.02E+09	2918605	598678.6	1243627	960907.5	5.49E+07	7453873	353830.9	827037.2	1458409	1826393	2.75E+08	3951684	4.20E+07	2432343	2542594	396753.7	3.96E+07	3.02E+09	252347.8	2346032	319303.6	1190198	903308.4	1923406	375212.6	1622373	2637020	1375292	4.97E+08	60431.23	166469.2	181254	1.06E+07	2309057	1061724	513536.3	92383.6	745833.8	994150.7	5681418	124666.9	3.20E+07	2917237	5.11E+07	7.89E+07	1243364	4347739	1195479
12H-KNO3-R5	12H	85647.01	4.59E+08	545791.2	565442.7	2748899	195817.8	8762339	4.00E+07	2.00E+07	28204.79	2550503	4.67E+07	8551006	59073.21	111845.6	53896.91	50976.02	775405.3	2.00E+07	1503459	931267.3	1477296	763270.4	1.11E+07	2704146	4.58E+08	4.59E+08	901016.8	1.73E+08	6226528	17581	1726818	651942.6	4.67E+07	587401.4	4125378	455922.2	1.07E+07	55308.25	1547118	8551006	5.04E+08	5.11E+08	276679.4	1766040	3716.583	1810591	351964	4.13E+07	6061826	502492.5	1333858	221272.6	3911610	4694022	851616.6	60618.27	113827.1	2046256	692943.9	477495.9	7394240	1.33E+07	6.93E+07	448391.6	1903941	526778.7	2892413	1.58E+07	3376034	0	1423409	2480411	3450177	60087.57	700451.2	942066.1	1.40E+07	465604.4	2.23E+07	5451922	8915816	299370	2.14E+08	1.66E+07	2.01E+07	3.68E+07	0	1051400	3458230	4353613	118465.2	606812.9	50237.41	225025.6	82783.55	3.68E+07	104467.9	2.11E+07	777046	2.96E+08	5498750	50907.82	4.78E+07	3.68E+07	64578.16	1.31E+08	6.95E+07	3.68E+07	7819499	9.84E+08	4.84E+08	205664.3	195755.9	219775.9	3815907	2695.242	2001104	500579.3	247998.6	1034647	114125.2	5847625	1048700	46814.21	1125491	91814.67	653769.8	2.89E+09	1299075	562804	991312.8	717735.5	6.55E+07	5.82E+07	8306.272	91223.13	1390487	2122404	2.35E+08	2704146	3.84E+07	924542.4	2434307	52685.3	3.67E+07	2.89E+09	107280.8	2638975	2.82E+07	1035965	871264.1	1292081	264226.3	1123041	1751631	5617287	5.11E+08	597074.3	82006.73	1168717	896412.6	2302127	1168717	1.73E+08	83218.05	1759282	653323.4	5043870	118736.2	2.96E+07	155855.8	4.33E+07	2.82E+07	1.49E+07	7081972	1346885
12H-UKNO3-R1	12H+U	89981.15	6.63E+08	1007198	208545.7	8189361	292442.7	6554.256	1.50E+08	3.47E+07	1748378	1.91E+07	7.55E+07	7167416	627853	59672.72	75843.3	127579	1429114	3.47E+07	7492556	873418.9	1978512	1249131	1.37E+07	1635406	0	6.58E+08	1129725	1.82E+08	1.23E+07	43155.05	3301280	0	7.55E+07	1450794	7145930	396895.8	7751034	23815.9	1983743	2776525	3.50E+08	6.36E+08	259541.8	0	32991.23	4213095	7492556	8.33E+07	1.07E+07	1123796	4009415	310748.3	2015030	6277020	661531.3	11265.28	106309.6	2553189	957503.6	1160649	3.00E+07	1.18E+07	2.72E+08	911642	5961821	1231291	4560060	1.12E+08	7506964	4.02E+07	1230155	5739367	3296546	174984.7	482033.1	1515829	2.70E+07	1253454	326316	3652457	2.11E+07	514740.4	3.50E+08	2.59E+07	4.75E+07	8.26E+07	2630704	8813667	5675199	5226164	7094.505	1532067	3276966	473072.6	3337.211	4.55E+07	338490.8	6.87E+07	0	3.54E+08	3830155	148732.1	6.14E+07	8.26E+07	3910.343	9753045	1.61E+08	8.26E+07	1.57E+07	8.96E+08	4.38E+08	320955.7	277574	503293.5	1.80E+07	86067.07	5460188	726270.8	749534.1	2154295	180082.7	1.01E+07	1658274	82818.22	1157332	240652.7	1856062	3.01E+09	1353057	967429.4	2949302	1025970	7.57E+07	7.36E+07	88728.12	693535.6	2187181	4034503	3.16E+08	6768934	918188.4	1.50E+08	2064863	58557.84	2543748	3.01E+09	126733.3	4639289	1.03E+08	741532.2	747738.8	1009143	428590.9	3.31E+07	3291107	1.21E+07	6.36E+08	1388571	215990.8	4341304	2166746	7055028	3885417	4.10E+07	33247.88	4246715	914927.6	1.14E+07	266831.2	2.33E+07	355411.7	2.63E+07	1.03E+08	62368.13	9320617	1583484
